ID,Name,StudyHours,Attendance,Marks,Grade,Performance,Performance_Score
9,Student_9,6.4,66,43.6,D,Medium,40.64
12,Student_12,9.7,65,50.5,D,Medium,45.239999999999995
13,Student_13,8.5,55,,D,Low,
14,Student_14,2.9,57,52.1,D,Low,43.239999999999995
16,Student_16,2.7,67,45.8,D,Low,41.419999999999995
23,Student_23,3.6,75,,D,Low,
25,Student_25,5.1,81,49.1,D,Medium,46.68
32,Student_32,2.5,70,45.3,D,Low,41.67999999999999
34,Student_34,9.5,56,47.7,D,Low,41.72
38,Student_38,1.9,58,42.2,D,Low,37.300000000000004
42,Student_42,5.5,99,45.3,D,Medium,48.08
54,Student_54,9.1,63,52.5,D,Medium,45.92
56,Student_56,9.3,73,47.0,D,Medium,44.66
64,Student_64,4.2,89,44.9,D,Medium,45.58
66,Student_66,5.9,72,50.4,D,Medium,45.82
72,Student_72,2.8,78,48.0,D,Low,44.96
78,Student_78,1.7,65,50.5,D,Low,43.64
81,Student_81,8.8,93,48.8,D,High,49.63999999999999
83,Student_83,4.0,84,,D,Medium,
84,Student_84,1.6,91,41.5,D,Low,43.419999999999995
85,Student_85,3.8,83,48.1,D,Low,46.22
93,Student_93,7.8,88,46.3,D,High,46.94
95,Student_95,7.9,78,53.0,D,Medium,48.98
98,Student_98,4.8,93,49.1,D,Medium,49.02
99,Student_99,1.2,65,43.7,D,Low,39.46
101,Student_101,1.3,96,,D,Low,
102,Student_102,6.7,59,43.5,D,Low,39.24
104,Student_104,5.6,74,43.5,D,Medium,42.019999999999996
107,Student_107,4.7,54,54.4,D,Low,44.379999999999995
108,Student_108,7.8,50,48.5,D,Low,40.66
109,Student_109,3.1,79,47.3,D,Low,44.8
111,Student_111,3.6,52,46.1,D,Low,38.78
113,Student_113,9.4,63,43.7,D,Medium,40.70000000000001
122,Student_122,9.1,95,47.8,D,High,49.49999999999999
125,Student_125,3.1,64,51.7,D,Low,44.44
131,Student_131,4.8,86,40.7,D,Medium,42.580000000000005
134,Student_134,4.0,88,41.2,D,Medium,43.120000000000005
137,Student_137,5.7,60,,D,Medium,
139,Student_139,4.3,83,52.9,D,Medium,49.2
140,Student_140,9.7,74,40.7,D,Medium,41.16
141,Student_141,9.7,56,,D,Low,
146,Student_146,1.3,100,46.6,D,Low,48.22
150,Student_150,3.5,92,45.9,D,Low,46.64
152,Student_152,3.2,75,49.0,D,Low,45.04
157,Student_157,7.0,54,,D,Low,
168,Student_168,2.7,99,42.3,D,Low,45.72
175,Student_175,6.8,87,,D,High,
176,Student_176,2.6,62,44.0,D,Low,39.32
177,Student_177,7.2,96,,D,High,
178,Student_178,4.5,74,49.0,D,Medium,45.1
182,Student_182,2.0,86,42.5,D,Low,43.1
183,Student_183,9.3,83,45.1,D,High,45.519999999999996
185,Student_185,3.3,90,44.3,D,Low,45.239999999999995
186,Student_186,6.9,52,44.3,D,Low,38.36
187,Student_187,8.4,77,40.7,D,Medium,41.5
195,Student_195,4.1,58,51.1,D,Low,43.080000000000005
196,Student_196,4.1,64,50.4,D,Medium,43.86
197,Student_197,7.5,89,45.9,D,High,46.84
198,Student_198,9.1,74,,D,Medium,
201,Student_201,6.8,83,41.3,D,High,42.739999999999995
202,Student_202,1.8,73,44.9,D,Low,41.9
208,Student_208,7.0,75,52.3,D,Medium,47.779999999999994
209,Student_209,1.0,67,47.3,D,Low,41.980000000000004
214,Student_214,3.0,77,42.5,D,Low,41.5
218,Student_218,7.7,99,,D,High,
224,Student_224,4.3,52,47.7,D,Low,39.88
227,Student_227,9.8,89,53.5,D,High,51.86000000000001
233,Student_233,6.2,73,54.4,D,Medium,48.480000000000004
234,Student_234,5.4,68,47.3,D,Medium,43.06
235,Student_235,2.8,65,,D,Low,
250,Student_250,8.7,54,50.6,D,Low,42.9
254,Student_254,3.9,80,42.6,D,Low,42.34
255,Student_255,2.5,72,49.9,D,Low,44.839999999999996
256,Student_256,6.0,91,47.9,D,High,48.14
259,Student_259,6.1,92,52.8,D,High,51.3
272,Student_272,8.3,81,49.6,D,High,47.61999999999999
274,Student_274,9.2,95,40.6,D,High,45.2
275,Student_275,5.6,76,54.8,D,Medium,49.199999999999996
278,Student_278,6.8,66,46.0,D,Medium,42.16
281,Student_281,9.0,83,52.2,D,High,49.72
285,Student_285,6.2,97,51.3,D,High,51.42
289,Student_289,3.6,56,40.3,D,Low,36.099999999999994
291,Student_291,1.3,90,42.1,D,Low,43.52
293,Student_293,8.4,83,52.1,D,High,49.54
297,Student_297,7.9,86,48.9,D,High,48.11999999999999
309,Student_309,8.2,71,40.2,D,Medium,39.96
313,Student_313,1.2,71,45.6,D,Low,41.800000000000004
317,Student_317,4.7,63,43.9,D,Medium,39.879999999999995
327,Student_327,6.0,82,44.6,D,High,44.36000000000001
328,Student_328,6.5,55,43.5,D,Low,38.39999999999999
335,Student_335,1.4,75,48.8,D,Low,44.56
338,Student_338,7.3,83,45.3,D,High,45.24
339,Student_339,5.3,78,53.2,D,Medium,48.580000000000005
348,Student_348,1.4,78,47.1,D,Low,44.14
354,Student_354,2.5,69,51.1,D,Low,44.96
357,Student_357,1.2,76,41.6,D,Low,40.400000000000006
358,Student_358,6.3,52,41.5,D,Low,36.559999999999995
368,Student_368,9.1,55,51.2,D,Low,43.54
372,Student_372,1.2,50,48.0,D,Low,39.04
373,Student_373,1.8,87,44.8,D,Low,44.64
379,Student_379,8.3,73,49.5,D,Medium,45.959999999999994
381,Student_381,2.1,67,48.1,D,Low,42.68
385,Student_385,7.6,76,44.1,D,Medium,43.18000000000001
386,Student_386,8.2,57,43.4,D,Low,39.08
389,Student_389,7.8,66,54.8,D,Medium,47.64
396,Student_396,9.4,56,43.9,D,Low,39.42
398,Student_398,4.9,78,42.0,D,Medium,41.779999999999994
399,Student_399,7.8,93,43.8,D,High,46.44
401,Student_401,1.9,52,,D,Low,
406,Student_406,9.1,79,41.3,D,Medium,42.4
411,Student_411,3.9,69,43.1,D,Low,40.44
418,Student_418,4.0,73,51.9,D,Medium,46.53999999999999
421,Student_421,8.1,62,,D,Medium,
424,Student_424,5.4,70,46.8,D,Medium,43.16
425,Student_425,1.5,67,49.1,D,Low,43.16
426,Student_426,5.9,79,53.5,D,Medium,49.080000000000005
428,Student_428,9.0,95,,D,High,
431,Student_431,2.3,87,46.9,D,Low,46.0
434,Student_434,1.9,94,44.1,D,Low,45.64000000000001
