ID,Name,StudyHours,Attendance,Marks,Grade,Performance,Performance_Score
4,Student_4,6.4,73,99.6,A,Medium,75.63999999999999
11,Student_11,1.2,86,97.5,A,Low,75.94
18,Student_18,5.7,61,85.4,A,Medium,64.58
21,Student_21,6.5,90,87.7,A,High,71.92
22,Student_22,2.3,94,95.6,A,Low,76.61999999999999
26,Student_26,8.1,59,99.5,A,Low,73.12
27,Student_27,2.8,65,95.6,A,Low,70.91999999999999
29,Student_29,6.3,66,90.5,A,Medium,68.76
33,Student_33,1.6,71,85.3,A,Low,65.69999999999999
35,Student_35,9.7,63,89.6,A,Medium,68.3
36,Student_36,8.3,64,86.9,A,Medium,66.6
43,Student_43,1.3,72,96.2,A,Low,72.38000000000001
50,Student_50,2.7,67,95.2,A,Low,71.06
52,Student_52,8.0,88,99.5,A,High,78.89999999999999
53,Student_53,9.5,66,91.1,A,Medium,69.76
55,Student_55,6.4,80,95.8,A,High,74.75999999999999
57,Student_57,1.8,84,89.0,A,Low,70.56
59,Student_59,1.4,94,92.7,A,Low,74.7
60,Student_60,3.9,83,92.1,A,Low,72.64
61,Student_61,4.5,52,88.4,A,Low,64.34
62,Student_62,3.4,86,87.4,A,Low,70.32000000000001
69,Student_69,1.7,64,98.5,A,Low,72.24
71,Student_71,8.0,53,89.3,A,Low,65.78
73,Student_73,1.0,71,91.7,A,Low,69.42
74,Student_74,8.3,74,95.4,A,Medium,73.7
77,Student_77,7.9,82,85.9,A,High,69.52
86,Student_86,3.9,79,97.8,A,Low,75.25999999999999
88,Student_88,6.7,62,97.9,A,Medium,72.48
100,Student_100,2.0,93,86.8,A,Low,71.08000000000001
103,Student_103,3.8,79,99.7,A,Low,76.38000000000001
106,Student_106,3.2,69,99.0,A,Low,73.84
115,Student_115,6.7,99,99.8,A,High,81.02
116,Student_116,8.8,53,88.8,A,Low,65.64
123,Student_123,3.9,64,93.2,A,Low,69.5
128,Student_128,8.7,53,89.7,A,Low,66.16
130,Student_130,5.6,86,86.2,A,Medium,70.04
136,Student_136,3.9,73,85.6,A,Low,66.74
142,Student_142,3.3,53,98.6,A,Low,70.41999999999999
143,Student_143,5.5,57,88.1,A,Low,65.35999999999999
144,Student_144,3.7,69,97.6,A,Low,73.1
149,Student_149,1.5,59,90.7,A,Low,66.52
159,Student_159,3.1,96,87.1,A,Low,72.08000000000001
160,Student_160,7.6,72,93.5,A,Medium,72.02
161,Student_161,4.3,98,97.3,A,Medium,78.83999999999999
